Height (m)
60
70
40
145
16
10.5
12.5
12
14
12.5
17
6.8
92
105
105
30.25
30
29.6
14
146.6
67
80
143.5
65.5
21
21
28.3
18
17.5
60
49
17
47
52
70
16
50
51.68
52.5
52.5
43
52.5
52.5
52.5
52.4
21
15
55
61.25
84
48.6
63
75
58
80.5
2.5
35
37.35
5.25
5.25
5.25
40
